timestamp,controller,camera driver
1715102383.359453708,0,2
1715102383.455269879,0,2
1715102383.555425154,0,2
1715102383.655542516,0,2
1715102383.755249478,0,2
1715102383.855731576,0,2
1715102383.955451255,0,2
1715102384.055809691,0,2
1715102384.155879450,2,2
1715102384.255893226,2,2
1715102384.355350270,2,2
1715102384.456189277,2,2
1715102384.555618322,2,2
1715102384.655573416,2,2
1715102384.755882916,2,2
1715102384.855947034,2,2
1715102384.955338555,2,2
1715102385.055318953,2,2
1715102385.156594226,2,2
1715102385.255534135,2,2
1715102385.355163443,2,2
1715102385.455236582,2,2
1715102385.556056000,2,2
1715102385.660101683,2,2
1715102385.757518528,2,2
1715102385.856418880,2,2
1715102385.957352189,2,2
1715102386.058535241,2,2
1715102386.160739187,2,2
1715102386.258813821,2,2
1715102386.355741973,2,2
1715102386.455202616,2,2
1715102386.555420547,2,2
1715102386.657725357,2,2
1715102386.755704466,2,2
1715102386.855209922,2,2
1715102386.955289962,2,2
1715102387.055247021,2,2
1715102387.155344622,2,2
1715102387.255176678,2,2
1715102387.355680895,2,2
1715102387.456593574,2,2
1715102387.557062595,2,0
1715102387.656507782,2,2
1715102387.756110604,2,0
1715102387.855601047,2,0
1715102387.961107121,2,2
1715102388.056554881,2,2
1715102388.159166966,2,2
1715102388.256633469,2,2
1715102388.355663832,2,2
1715102388.455511377,2,2
1715102388.555221439,2,2
1715102388.655401564,2,2
1715102388.758156841,2,2
1715102388.855244559,2,2
1715102388.956492050,2,2
1715102389.056771323,2,2
1715102389.155515732,2,2
1715102389.255483620,2,2
1715102389.357685011,2,2
1715102389.456622348,2,2
1715102389.555918735,2,2
1715102389.660814155,2,2
1715102389.756791864,2,2
1715102389.857901706,2,2
1715102389.955238611,2,2
1715102390.056268414,2,2
1715102390.155650202,2,2
1715102390.258555072,2,2
1715102390.359123513,2,2
1715102390.455278835,2,2
1715102390.558169094,2,2
1715102390.659053044,2,2
1715102390.757062623,2,2
1715102390.858038871,2,2
1715102390.959471912,2,2
1715102391.057723141,2,2
1715102391.159094700,2,2
1715102391.256662394,2,2
1715102391.357395914,2,2
1715102391.455455623,2,2
1715102391.556019693,2,2
1715102391.655302978,2,2
1715102391.756399402,2,2
1715102391.856779595,2,3
1715102391.952688271,2,3
1715102392.052537457,2,3
1715102392.155429377,2,3
1715102392.255591095,2,0
1715102392.355273466,2,0
1715102392.455775030,2,3
1715102392.556444162,2,3
1715102392.655147380,2,3
1715102392.755262035,2,0
1715102392.855306034,0,0
1715102392.955780573,0,0
1715102393.055687573,0,3
1715102393.155728722,0,0
1715102393.258026427,0,3
1715102393.359139162,0,3
1715102393.455980666,0,0
1715102393.555574792,0,0
1715102393.656036408,0,0
1715102393.756176867,0,0
1715102393.856833220,0,0
1715102393.956966734,0,0
1715102394.055748909,0,2
1715102394.155717898,0,2
1715102394.258956254,0,2
1715102394.361674987,0,2
1715102394.458288070,0,2
1715102394.559440172,0,2
1715102394.655708533,0,2
1715102394.757319717,0,2
1715102394.855559633,0,2
1715102394.956455323,0,2
1715102395.055462214,0,2
1715102395.162775718,2,2
1715102395.258740997,2,2
1715102395.356819677,2,2
1715102395.455383618,2,2
1715102395.556635401,2,2
1715102395.657060163,2,2
1715102395.758798222,2,2
1715102395.857252766,2,2
1715102395.956341533,2,2
1715102396.055677631,2,2
1715102396.155179931,2,2
1715102396.255227973,2,2
1715102396.356841702,2,2
1715102396.456944254,2,2
1715102396.555667779,2,2
1715102396.656021320,2,2
1715102396.755504112,2,2
1715102396.855158928,2,2
1715102396.955520284,2,2
1715102397.055575746,2,2
1715102397.155415369,2,2
1715102397.255672209,2,2
1715102397.355717159,2,2
1715102397.455816914,2,2
1715102397.555554206,2,2
1715102397.655535007,2,2
1715102397.756420882,2,2
1715102397.855761032,2,2
1715102397.955268499,2,2
1715102398.055615920,2,2
1715102398.155622277,2,2
1715102398.255592844,2,2
1715102398.355198766,2,2
1715102398.455081419,2,2
1715102398.555441278,2,2
1715102398.655614413,2,2
1715102398.756022862,2,2
1715102398.855583606,2,2
1715102398.955357994,2,2
1715102399.055457471,2,2
1715102399.155139654,2,2
1715102399.255491615,2,2
1715102399.355493388,2,2
1715102399.455974982,2,2
1715102399.555157080,2,2
1715102399.655523355,2,2
1715102399.755344667,2,3
1715102399.855511561,2,1
1715102399.955524903,2,1
1715102400.055340424,2,0
1715102400.156101127,2,0
1715102400.255276966,2,0
1715102400.355958063,2,0
1715102400.456139773,2,0
1715102400.555345875,2,3
1715102400.655525762,2,0
1715102400.755266192,2,0
1715102400.855892130,0,3
1715102400.955521847,0,0
1715102401.055445930,0,0
1715102401.155223640,0,3
1715102401.255703365,0,3
1715102401.355510573,0,2
1715102401.455096759,0,2
1715102401.556791853,0,2
1715102401.656036348,0,2
1715102401.755829681,0,2
1715102401.855300727,0,2
1715102401.955800267,0,2
1715102402.055144627,0,2
1715102402.155334238,0,2
1715102402.255382953,2,2
1715102402.356068970,2,2
1715102402.455464467,2,2
1715102402.555454495,2,2
1715102402.655140412,2,2
1715102402.756034867,2,2
1715102402.858079258,2,2
1715102402.956564412,2,2
1715102403.057307952,2,2
1715102403.159360615,2,2
1715102403.258193299,2,2
1715102403.362223081,2,2
1715102403.456408683,2,2
1715102403.555248827,2,2
1715102403.655376678,2,2
1715102403.757458700,2,2
1715102403.861492995,2,2
1715102403.957244202,2,2
1715102404.058854966,2,2
1715102404.156835077,2,2
1715102404.257278123,2,2
1715102404.358534738,2,2
1715102404.458512423,2,2
1715102404.556799342,2,2
1715102404.656764377,2,2
1715102404.756765613,2,2
1715102404.855107863,2,2
1715102404.955544446,2,2
1715102405.055130642,2,2
1715102405.155586956,2,2
1715102405.255546115,2,2
1715102405.355695111,2,2
1715102405.455398999,2,2
1715102405.555185686,2,2
1715102405.655168418,2,1
1715102405.755478874,2,1
1715102405.855332845,2,1
1715102405.955521752,2,0
1715102406.055639698,2,0
1715102406.155542095,2,0
1715102406.256126653,2,0
1715102406.355250888,2,0
1715102406.455253291,2,0
1715102406.555230383,2,0
1715102406.655540482,2,3
1715102406.755184582,2,3
1715102406.855555949,0,3
1715102406.955265174,0,3
1715102407.055838336,0,2
1715102407.155684439,0,2
1715102407.256131253,0,2
1715102407.355641894,0,2
1715102407.455399035,0,2
1715102407.555447836,0,2
1715102407.656472698,0,2
1715102407.755258050,0,2
1715102407.855187103,2,2
1715102407.955516733,2,2
1715102408.055287050,2,2
1715102408.155511210,2,2
1715102408.255521325,2,2
1715102408.355275637,2,2
1715102408.455475737,2,2
1715102408.555447648,2,2
1715102408.656053882,2,2
1715102408.755477323,2,2
1715102408.855715024,2,2
1715102408.955110697,2,2
1715102409.055129934,2,2
1715102409.155269129,2,2
1715102409.255658929,2,2
1715102409.355423227,2,2
1715102409.456068691,2,2
1715102409.556204848,2,2
1715102409.657358470,2,2
1715102409.758333030,2,2
1715102409.858983115,2,2
1715102409.956054399,2,2
1715102410.055256525,2,2
1715102410.155419200,2,2
1715102410.255541610,2,2
1715102410.355266925,2,2
1715102410.455251384,2,2
1715102410.555607244,2,2
1715102410.655878900,2,2
1715102410.755734729,2,2
1715102410.855270594,2,2
1715102410.955466966,2,2
1715102411.055574091,2,2
1715102411.155124586,2,2
1715102411.252680016,2,2
1715102411.356085186,2,2
1715102411.454994725,2,2
1715102411.555490725,2,2
1715102411.656075023,2,2
1715102411.754946113,2,2
1715102411.856446661,2,2
1715102411.955944015,2,2
1715102412.055621657,2,2
1715102412.155264183,2,2
1715102412.255163293,2,2
1715102412.355269089,2,2
1715102412.455421909,2,2
1715102412.555112833,2,2
1715102412.656288169,2,2
1715102412.755116115,2,2
1715102412.855149117,2,2
1715102412.955586826,2,2
1715102413.055124878,2,2
1715102413.155329236,2,2
1715102413.256371501,2,2
1715102413.355200964,2,2
1715102413.459093661,2,2
1715102413.558380193,2,2